rank,match_1,match_2,match_3,match_4,match_5,match_6,match_7,match_8,match_9,match_10,match_11,match_12,match_13,signature,bucket,source_rank,unit_count,amount_cumulative_yen,proxy_score,note
170,2,1,2,2,0,2,0,0,2,1,2,2,1,2122020021221,base_core,170,1,17000,-7.222166,ベース190口。Hotでもまず1口だけ置く。
171,2,1,2,2,0,2,0,0,2,0,2,2,1,2122020020221,base_core,171,1,17100,-7.229021,ベース190口。Hotでもまず1口だけ置く。
172,2,1,2,0,2,2,2,2,2,1,2,2,0,2120222221220,base_core,172,1,17200,-7.235253,ベース190口。Hotでもまず1口だけ置く。
173,2,1,2,0,2,2,2,2,2,0,2,2,0,2120222220220,base_core,173,1,17300,-7.242108,ベース190口。Hotでもまず1口だけ置く。
174,2,0,0,2,2,2,1,2,2,1,2,2,1,2002221221221,base_core,174,1,17400,-7.246198,ベース190口。Hotでもまず1口だけ置く。
175,2,0,0,2,2,2,1,2,2,0,2,2,1,2002221220221,base_core,175,1,17500,-7.253053,ベース190口。Hotでもまず1口だけ置く。
176,2,1,2,1,2,2,0,0,2,1,2,2,1,2121220021221,base_core,176,1,17600,-7.255963,ベース190口。Hotでもまず1口だけ置く。
177,2,1,0,0,2,2,2,2,2,2,2,2,1,2100222222221,base_core,177,1,17700,-7.261157,ベース190口。Hotでもまず1口だけ置く。
178,2,1,2,1,2,2,0,0,2,0,2,2,1,2121220020221,base_core,178,1,17800,-7.262818,ベース190口。Hotでもまず1口だけ置く。
179,2,1,2,0,2,2,1,0,2,2,2,2,1,2120221022221,base_core,179,1,17900,-7.266803,ベース190口。Hotでもまず1口だけ置く。
180,2,1,2,0,0,2,0,0,2,1,2,2,1,2120020021221,base_core,180,1,18000,-7.268133,ベース190口。Hotでもまず1口だけ置く。
181,2,1,2,0,0,2,0,0,2,0,2,2,1,2120020020221,base_core,181,1,18100,-7.274988,ベース190口。Hotでもまず1口だけ置く。
182,2,1,2,2,2,2,0,0,2,2,2,2,1,2122220022221,base_core,182,1,18200,-7.284331,ベース190口。Hotでもまず1口だけ置く。
183,2,0,0,0,2,2,1,2,2,1,2,2,1,2000221221221,base_core,183,1,18300,-7.292166,ベース190口。Hotでもまず1口だけ置く。
184,2,0,0,0,2,2,1,2,2,0,2,2,1,2000221220221,base_core,184,1,18400,-7.299021,ベース190口。Hotでもまず1口だけ置く。
185,0,1,2,2,2,2,1,2,2,1,2,2,1,0122221221221,base_core,185,1,18500,-7.301352,ベース190口。Hotでもまず1口だけ置く。
186,2,1,0,1,0,2,1,2,2,1,2,2,1,2101021221221,base_core,186,1,18600,-7.304411,ベース190口。Hotでもまず1口だけ置く。
