rank,bucket,amount_cumulative_yen,signature,match_1,match_2,match_3,match_4,match_5,match_6,match_7,match_8,match_9,match_10,match_11,match_12,match_13,note
158,hedge,15800,1012100112111,1,0,1,2,1,0,0,1,1,2,1,1,1,追加ヘッジ
159,hedge,15900,1210101110111,1,2,1,0,1,0,1,1,1,0,1,1,1,追加ヘッジ
160,hedge,16000,0012111012111,0,0,1,2,1,1,1,0,1,2,1,1,1,追加ヘッジ
161,hedge,16100,1202101010111,1,2,0,2,1,0,1,0,1,0,1,1,1,追加ヘッジ
162,hedge,16200,0212121212111,0,2,1,2,1,2,1,2,1,2,1,1,1,追加ヘッジ
163,hedge,16300,0012111110111,0,0,1,2,1,1,1,1,1,0,1,1,1,追加ヘッジ
164,hedge,16400,0012101112111,0,0,1,2,1,0,1,1,1,2,1,1,1,追加ヘッジ
165,hedge,16500,1212211012111,1,2,1,2,2,1,1,0,1,2,1,1,1,追加ヘッジ
166,hedge,16600,1012111011111,1,0,1,2,1,1,1,0,1,1,1,1,1,追加ヘッジ
167,hedge,16700,1212111010011,1,2,1,2,1,1,1,0,1,0,0,1,1,追加ヘッジ
168,hedge,16800,1212121211111,1,2,1,2,1,2,1,2,1,1,1,1,1,追加ヘッジ
169,hedge,16900,1212211110111,1,2,1,2,2,1,1,1,1,0,1,1,1,追加ヘッジ
170,hedge,17000,1012111102111,1,0,1,2,1,1,1,1,0,2,1,1,1,追加ヘッジ
171,hedge,17100,1212101012011,1,2,1,2,1,0,1,0,1,2,0,1,1,追加ヘッジ
172,hedge,17200,1012011212111,1,0,1,2,0,1,1,2,1,2,1,1,1,追加ヘッジ
173,hedge,17300,1212201112111,1,2,1,2,2,0,1,1,1,2,1,1,1,追加ヘッジ
174,hedge,17400,1012101111111,1,0,1,2,1,0,1,1,1,1,1,1,1,追加ヘッジ
175,hedge,17500,2212111212111,2,2,1,2,1,1,1,2,1,2,1,1,1,追加ヘッジ
176,hedge,17600,1212101110011,1,2,1,2,1,0,1,1,1,0,0,1,1,追加ヘッジ
177,hedge,17700,1210121112111,1,2,1,0,1,2,1,1,1,2,1,1,1,追加ヘッジ
178,hedge,17800,1012110212111,1,0,1,2,1,1,0,2,1,2,1,1,1,追加ヘッジ
179,hedge,17900,1202121012111,1,2,0,2,1,2,1,0,1,2,1,1,1,追加ヘッジ
180,hedge,18000,1210111210111,1,2,1,0,1,1,1,2,1,0,1,1,1,追加ヘッジ
181,hedge,18100,1210101212111,1,2,1,0,1,0,1,2,1,2,1,1,1,追加ヘッジ
182,hedge,18200,1202121110111,1,2,0,2,1,2,1,1,1,0,1,1,1,追加ヘッジ
183,hedge,18300,1212111010101,1,2,1,2,1,1,1,0,1,0,1,0,1,追加ヘッジ
184,hedge,18400,1212112012111,1,2,1,2,1,1,2,0,1,2,1,1,1,追加ヘッジ
185,hedge,18500,1212101012101,1,2,1,2,1,0,1,0,1,2,1,0,1,追加ヘッジ
186,hedge,18600,0012111212111,0,0,1,2,1,1,1,2,1,2,1,1,1,追加ヘッジ
187,hedge,18700,1202101210111,1,2,0,2,1,0,1,2,1,0,1,1,1,追加ヘッジ
188,hedge,18800,1212112110111,1,2,1,2,1,1,2,1,1,0,1,1,1,追加ヘッジ
189,hedge,18900,1212101110101,1,2,1,2,1,0,1,1,1,0,1,0,1,追加ヘッジ
190,hedge,19000,1212121112011,1,2,1,2,1,2,1,1,1,2,0,1,1,追加ヘッジ
191,hedge,19100,1212102112111,1,2,1,2,1,0,2,1,1,2,1,1,1,追加ヘッジ
192,hedge,19200,1212111010110,1,2,1,2,1,1,1,0,1,0,1,1,0,追加ヘッジ
193,hedge,19300,1212211212111,1,2,1,2,2,1,1,2,1,2,1,1,1,追加ヘッジ
194,hedge,19400,1012111211111,1,0,1,2,1,1,1,2,1,1,1,1,1,追加ヘッジ
195,hedge,19500,1212111210011,1,2,1,2,1,1,1,2,1,0,0,1,1,追加ヘッジ
196,hedge,19600,1212101012110,1,2,1,2,1,0,1,0,1,2,1,1,0,追加ヘッジ
197,hedge,19700,1212101212011,1,2,1,2,1,0,1,2,1,2,0,1,1,追加ヘッジ
198,hedge,19800,1212111122111,1,2,1,2,1,1,1,1,2,2,1,1,1,追加ヘッジ
199,hedge,19900,1212101110110,1,2,1,2,1,0,1,1,1,0,1,1,0,追加ヘッジ
200,hedge,20000,1010111112111,1,0,1,0,1,1,1,1,1,2,1,1,1,追加ヘッジ
